sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
177413,https://sofifa.com/player/177413/axel-witsel/20/159586,A. Witsel,Axel  Witsel,30,1/12/1989,186,81,Belgium,Borussia Dortmund,85,85,31500000,110000,"CDM, CM",Right,3,4,4,Medium/High,Lean,Yes,52000000,,LDM,28,,8/17/2018,2022,LCM,6,73,74,80,79,83,81,,,,,,,"Diver, Avoids Using Weaker Foot",69,71,81,89,77,78,69,68,84,84,67,77,76,85,67,78,77,82,82,74,79,80,75,80,76,92,82,85,83,5,7,7,10,7,77+3,77+3,77+3,77+3,78+3,78+3,78+3,77+3,80+3,80+3,80+3,78+3,82+3,82+3,82+3,78+3,80+3,83+3,83+3,83+3,80+3,80+3,82+3,82+3,82+3,80+3
191043,https://sofifa.com/player/191043/alex-sandro-lobo-silva/20/159586,Alex Sandro,Alex Sandro Lobo Silva,28,1/26/1991,180,80,Brazil,Juventus,85,85,33000000,155000,"LB, LM",Left,3,3,3,High/Medium,Normal,Yes,54500000,,LB,12,,8/21/2015,2020,,,83,65,77,80,82,82,,,,,,,Early Crosser,84,55,76,81,68,80,78,59,71,81,81,85,78,84,77,80,79,91,78,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,73+3,73+3,73+3,76+3,75+3,75+3,75+3,76+3,75+3,75+3,75+3,78+3,77+3,77+3,77+3,78+3,83+3,80+3,80+3,80+3,83+3,83+3,81+3,81+3,81+3,83+3
192629,https://sofifa.com/player/192629/iago-aspas-juncal/20/159586,Iago Aspas,Iago Aspas Juncal,31,8/1/1987,176,67,Spain,RC Celta,85,85,34500000,49000,"ST, RW",Left,2,3,3,High/High,Lean,Yes,72500000,"#Acrobat, #Clinical Finisher",RS,10,,7/1/2015,2023,SUB,17,78,84,77,85,35,64,,,,,,,"Power Free-Kick, Beat Offside Trap, Speed Dribbler (CPU AI Only), Giant Throw-in, Outside Foot Shot",80,88,78,79,83,86,80,76,68,85,80,76,87,85,72,79,66,71,60,82,63,39,86,79,82,85,39,21,18,12,16,9,12,13,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,82+2,82+2,82+2,81+2,74+2,74+2,74+2,81+2,60+2,57+2,57+2,57+2,60+2,56+2,49+2,49+2,49+2,56+2
193747,https://sofifa.com/player/193747/jorge-resurreccion/20/159586,Koke,Jorge Resurrección Merodio,27,1/8/1992,176,74,Spain,Atlético Madrid,85,85,40500000,88000,"RM, LM, CM",Right,3,4,3,High/High,Normal,Yes,83000000,"#Engine, #Crosser",RM,6,,1/1/2011,2024,SUB,8,68,75,86,82,74,79,,,,,,,"Finesse Shot, Giant Throw-in",86,72,61,89,56,82,85,76,87,85,70,67,71,87,80,84,63,92,75,81,79,79,82,85,59,84,74,78,64,14,12,5,10,13,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,82+3,85+3,85+3,85+3,82+3,80+3,81+3,81+3,81+3,80+3,77+3,74+3,74+3,74+3,77+3
198710,https://sofifa.com/player/198710/james-rodriguez/20/159586,J. Rodríguez,James David Rodríguez Rubio,27,7/12/1991,180,75,Colombia,Real Madrid,85,85,40500000,225000,"CAM, CM, RM",Left,4,2,4,Medium/Medium,Normal,Yes,83000000,"#Playmaker  , #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",SUB,16,,7/22/2014,2020,CAM,10,55,86,87,86,50,63,,,,,,,"Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",90,83,62,86,90,85,89,86,83,90,57,54,80,84,76,86,46,65,64,92,60,55,80,86,81,87,52,41,44,15,15,15,5,14,78+3,78+3,78+3,81+3,81+3,81+3,81+3,81+3,83+3,83+3,83+3,80+3,80+3,80+3,80+3,80+3,67+3,67+3,67+3,67+3,67+3,62+3,57+3,57+3,57+3,62+3
199914,https://sofifa.com/player/199914/allan-marques-loureiro/20/159586,Allan,Allan Marques Loureiro,28,1/8/1991,175,74,Brazil,Napoli,85,85,38000000,110000,CM,Right,2,3,4,Medium/High,Normal,No,64600000,"#Tackling , #Tactician ",RCM,5,,7/22/2015,2023,,,75,71,78,84,85,84,,,,,,,Diver,70,74,59,86,56,84,65,49,79,84,79,71,82,89,86,73,69,94,79,69,90,89,79,80,53,85,88,88,86,13,13,5,5,8,76+2,76+2,76+2,79+2,80+2,80+2,80+2,79+2,81+2,81+2,81+2,81+2,83+2,83+2,83+2,81+2,84+2,86+2,86+2,86+2,84+2,83+2,83+2,83+2,83+2,83+2
233049,https://sofifa.com/player/233049/jadon-sancho/20/159586,J. Sancho,Jadon Sancho,19,3/25/2000,180,76,England,Borussia Dortmund,84,92,44500000,61000,"RM, LM",Right,2,4,5,Medium/Low,Lean,Yes,82300000,"#Dribbler, #Acrobat",RM,7,,8/31/2017,2022,RW,21,88,72,77,90,36,60,,,,,,,"Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",78,78,37,83,80,92,81,48,59,88,89,87,91,84,90,68,51,77,59,62,43,29,78,83,57,80,32,45,34,7,11,10,11,13,75+2,75+2,75+2,83+2,81+2,81+2,81+2,83+2,82+2,82+2,82+2,83+2,75+2,75+2,75+2,83+2,64+2,58+2,58+2,58+2,64+2,59+2,47+2,47+2,47+2,59+2
235790,https://sofifa.com/player/235790/kai-havertz/20/159586,K. Havertz,Kai Havertz,20,6/11/1999,188,83,Germany,Bayer 04 Leverkusen,84,92,46000000,70000,"CAM, RM",Left,1,4,4,Medium/Medium,Lean,Yes,87400000,,RF,29,,7/1/2016,2022,SUB,23,84,78,79,84,44,65,,,,,,,"Beat Offside Trap, Leadership, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",73,81,74,85,80,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82,69,84,39,46,38,6,8,11,10,12,80+2,80+2,80+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,78+2,78+2,78+2,82+2,65+2,63+2,63+2,63+2,65+2,62+2,54+2,54+2,54+2,62+2
231443,https://sofifa.com/player/231443/ousmane-dembele/20/159586,O. Dembélé,Ousmane Dembélé,22,5/15/1997,178,67,France,FC Barcelona,84,90,42500000,195000,"RW, LW",Left,3,5,5,High/Medium,Lean,Yes,95600000,"#Speedster, #Dribbler",SUB,11,,8/28/2017,2022,SUB,11,93,79,80,87,36,57,,,,,,,"Power Free-Kick, Selfish, Early Crosser, Crowd Favourite",84,79,43,82,76,89,82,64,76,85,94,93,89,78,83,83,59,69,52,78,54,36,78,78,75,82,42,30,33,6,6,14,10,13,76+3,76+3,76+3,84+3,82+3,82+3,82+3,84+3,82+3,82+3,82+3,83+3,75+3,75+3,75+3,83+3,64+3,59+3,59+3,59+3,64+3,59+3,47+3,47+3,47+3,59+3
206585,https://sofifa.com/player/206585/kepa-arrizabalaga/20/159586,Kepa,Kepa Arrizabalaga,24,10/3/1994,186,85,Spain,Chelsea,84,89,31000000,92000,GK,Right,1,4,1,Medium/Medium,Lean,Yes,61200000,,GK,1,,8/8/2018,2024,SUB,13,,,,,,,84,82,86,85,33,80,"Flair, Flair Passes",25,11,18,51,18,10,25,19,53,16,34,33,41,78,39,65,71,37,51,14,18,21,15,57,24,63,19,18,16,84,82,86,80,85,,,,,,,,,,,,,,,,,,,,,,,,,,
210514,https://sofifa.com/player/210514/joao-pedro-cavaco-cancelo/20/159586,João Cancelo,João Pedro Cavaco Cancelo,25,5/27/1994,182,74,Portugal,Manchester City,84,89,36500000,150000,RB,Right,2,3,4,High/Medium,Lean,Yes,70300000,#Crosser,SUB,27,,8/7/2019,2025,SUB,2,90,65,80,84,78,71,,,,,,,Crowd Favourite,86,58,68,81,62,85,82,69,75,84,89,90,82,84,79,80,72,92,60,68,73,78,78,78,46,82,79,80,80,6,9,15,14,14,74+2,74+2,74+2,80+2,79+2,79+2,79+2,80+2,79+2,79+2,79+2,82+2,80+2,80+2,80+2,82+2,83+2,79+2,79+2,79+2,83+2,82+2,76+2,76+2,76+2,82+2
211117,https://sofifa.com/player/211117/dele-alli/20/159586,D. Alli,Bamidele Alli,23,4/11/1996,188,80,England,Tottenham Hotspur,84,89,41500000,115000,"CAM, CM",Right,3,3,4,High/High,Lean,Yes,79900000,#Engine,CAM,20,,2/2/2015,2024,LCM,20,72,81,79,82,71,79,,,,,,,"Selfish, Crowd Favourite",68,82,83,84,79,83,75,68,80,86,68,76,75,86,62,78,71,89,72,80,84,74,88,83,74,87,70,70,63,7,6,9,11,8,81+3,81+3,81+3,80+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,81+3,82+3,82+3,82+3,81+3,76+3,78+3,78+3,78+3,76+3,75+3,74+3,74+3,74+3,75+3
220814,https://sofifa.com/player/220814/lucas-hernandez/20/159586,L. Hernández,Lucas Hernández,23,2/14/1996,182,76,France,FC Bayern München,84,89,37500000,110000,"CB, LB",Left,3,3,2,High/High,Normal,Yes,64700000,,LCB,21,,7/1/2019,2024,LB,21,81,54,70,71,83,82,,,,,,,Long Passer (CPU AI Only),78,53,82,79,46,65,59,39,63,79,79,83,70,85,68,62,85,83,79,51,86,83,62,63,42,76,81,84,86,10,7,8,14,10,68+3,68+3,68+3,70+3,69+3,69+3,69+3,70+3,69+3,69+3,69+3,72+3,72+3,72+3,72+3,72+3,81+3,79+3,79+3,79+3,81+3,82+3,82+3,82+3,82+3,82+3
230658,https://sofifa.com/player/230658/arthur-henrique-ramos-oliveira-melo/20/159586,Arthur,Arthur Henrique Ramos Oliveira Melo,22,8/12/1996,171,73,Brazil,FC Barcelona,84,89,41000000,180000,CM,Right,2,3,4,Medium/Medium,Normal,No,87100000,"#Dribbler, #Playmaker  , #Complete Midfielder",SUB,8,,7/9/2018,2024,,,69,71,81,86,73,70,,,,,,,"Finesse Shot, Crowd Favourite",70,69,58,88,63,86,74,60,82,88,71,67,79,83,89,74,68,73,67,73,75,75,75,86,69,81,76,76,70,6,13,13,11,12,74+2,74+2,74+2,79+2,79+2,79+2,79+2,79+2,82+2,82+2,82+2,79+2,82+2,82+2,82+2,79+2,76+2,79+2,79+2,79+2,76+2,74+2,73+2,73+2,73+2,74+2
202556,https://sofifa.com/player/202556/memphis-depay/20/159586,M. Depay,Memphis Depay,25,2/13/1994,176,78,Netherlands,Olympique Lyonnais,84,88,40500000,110000,"CF, LW, CAM",Right,3,3,5,High/Low,Stocky,Yes,80000000,#FK Specialist,LW,11,,1/20/2017,2021,ST,10,87,80,81,84,32,78,,,,,,,"Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",83,78,65,80,74,84,85,88,74,85,87,87,81,79,79,87,74,79,80,81,75,28,83,85,71,78,29,31,20,8,14,6,12,10,80+3,80+3,80+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,82+3,75+3,75+3,75+3,82+3,61+3,58+3,58+3,58+3,61+3,56+3,50+3,50+3,50+3,56+3
209658,https://sofifa.com/player/209658/leon-goretzka/20/159586,L. Goretzka,Leon Goretzka,24,2/6/1995,189,79,Germany,FC Bayern München,84,88,40000000,120000,"CM, CAM, CDM",Right,3,4,3,High/Medium,Lean,Yes,69000000,,SUB,18,,7/1/2018,2022,RCM,18,81,77,80,81,75,79,,,,,,,"Injury Prone, Argues with Officials, Early Crosser",75,76,80,84,68,81,76,75,79,84,84,78,76,84,70,79,74,86,75,83,80,79,79,82,60,80,72,74,73,13,8,15,11,9,79+3,79+3,79+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,81+3,81+3,81+3,81+3,81+3,79+3,79+3,79+3,79+3,79+3,78+3,76+3,76+3,76+3,78+3
212194,https://sofifa.com/player/212194/julian-brandt/20/159586,J. Brandt,Julian Brandt,23,5/2/1996,185,83,Germany,Borussia Dortmund,84,88,40500000,94000,"CAM, LM, RM",Right,2,4,4,Medium/Medium,Normal,Yes,69900000,#Dribbler,SUB,19,,7/1/2019,2024,SUB,10,82,78,81,85,40,68,,,,,,,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite",78,79,53,86,78,86,77,59,80,86,78,86,81,83,78,81,63,78,74,80,43,39,80,84,54,82,39,42,29,11,16,11,8,9,78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,83+2,83+2,83+2,82+2,78+2,78+2,78+2,82+2,64+2,63+2,63+2,63+2,64+2,60+2,51+2,51+2,51+2,60+2
213345,https://sofifa.com/player/213345/kingsley-coman/20/159586,K. Coman,Kingsley Coman,23,6/13/1996,179,75,France,FC Bayern München,84,88,40500000,120000,"LM, RM, LW",Right,2,3,4,Medium/Low,Lean,Yes,69900000,"#Speedster, #Dribbler, #Acrobat",LW,29,,8/30/2015,2023,SUB,8,92,76,77,87,29,60,,,,,,,"Power Free-Kick, Early Crosser",79,76,52,78,77,87,84,70,72,87,94,91,88,84,85,80,73,69,64,73,36,23,83,79,70,76,29,27,21,5,3,5,3,5,78+2,78+2,78+2,83+2,82+2,82+2,82+2,83+2,82+2,82+2,82+2,82+2,73+2,73+2,73+2,82+2,59+2,54+2,54+2,54+2,59+2,55+2,43+2,43+2,43+2,55+2
206113,https://sofifa.com/player/206113/serge-gnabry/20/159586,S. Gnabry,Serge Gnabry,23,7/14/1995,175,75,Germany,FC Bayern München,84,87,39500000,120000,"RM, LM, LW",Right,2,4,4,High/Medium,Normal,Yes,68100000,"#Speedster, #Dribbler, #Acrobat",RW,22,,7/1/2017,2023,RW,20,90,82,75,86,43,69,,,,,,,"Power Free-Kick, Selfish, Argues with Officials, Early Crosser, Crowd Favourite",76,81,44,79,83,87,70,62,69,83,92,89,86,82,88,86,64,74,69,81,63,38,82,77,68,78,45,42,45,14,10,10,9,7,78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,81+2,81+2,81+2,81+2,74+2,74+2,74+2,81+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2
216594,https://sofifa.com/player/216594/nabil-fekir/20/159586,N. Fekir,Nabil Fekir,25,7/18/1993,173,75,France,Real Betis,84,87,39000000,40000,CAM,Left,3,3,4,High/Medium,Normal,Yes,84800000,#Dribbler,RM,8,,7/23/2019,2023,,,78,82,81,88,33,77,,,,,,,"Long Throw-in, Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite",83,82,49,83,77,90,81,80,75,89,79,77,82,78,91,84,64,74,82,82,73,28,81,81,74,89,31,37,25,15,9,8,14,15,79+3,79+3,79+3,83+3,82+3,82+3,82+3,83+3,83+3,83+3,83+3,82+3,76+3,76+3,76+3,82+3,61+3,60+3,60+3,60+3,61+3,56+3,50+3,50+3,50+3,56+3
192563,https://sofifa.com/player/192563/bernd-leno/20/159586,B. Leno,Bernd Leno,27,3/4/1992,190,83,Germany,Arsenal,84,86,26000000,91000,GK,Right,3,3,1,Medium/Medium,Normal,Yes,51400000,,GK,1,,7/1/2018,2023,,,,,,,,,83,81,78,85,56,84,Swerve Pass,9,9,13,45,10,16,9,8,42,30,55,56,52,79,44,59,73,43,68,14,28,22,7,54,23,66,27,15,18,83,81,78,84,85,,,,,,,,,,,,,,,,,,,,,,,,,,
198706,https://sofifa.com/player/198706/luis-alberto-romero-alconchel/20/159586,Luis Alberto,Luis Alberto Romero Alconchel,26,9/28/1992,183,74,Spain,Lazio,84,86,37500000,78000,"CAM, CM, CF",Right,2,3,4,Medium/Medium,Lean,Yes,66600000,,CM,10,,8/31/2016,2022,,,71,76,84,85,49,59,,,,,,,"Beat Offside Trap, Selfish, Leadership, Argues with Officials, Finesse Shot, Crowd Favourite",76,77,49,88,76,86,86,81,87,88,75,68,81,80,74,77,54,70,65,76,29,42,80,85,56,72,48,56,41,6,8,6,12,11,75+2,75+2,75+2,81+2,81+2,81+2,81+2,81+2,83+2,83+2,83+2,81+2,80+2,80+2,80+2,81+2,66+2,66+2,66+2,66+2,66+2,62+2,54+2,54+2,54+2,62+2
212462,https://sofifa.com/player/212462/alex-nicolao-telles/20/159586,Alex Telles,Alex Nicolao Telles,26,12/15/1992,181,71,Brazil,FC Porto,84,86,33000000,23000,LB,Left,3,2,3,High/High,Lean,Yes,68500000,"#Engine, #Crosser",LB,13,,7/13/2016,2021,,,85,72,84,81,80,76,,,,,,,"Diver, Early Crosser, Giant Throw-in",89,65,74,84,67,82,87,79,87,83,84,85,73,83,70,80,80,91,68,76,78,80,76,76,81,80,80,81,79,13,8,12,11,14,76+3,76+3,76+3,80+3,79+3,79+3,79+3,80+3,79+3,79+3,79+3,82+3,81+3,81+3,81+3,82+3,83+3,81+3,81+3,81+3,83+3,82+3,78+3,78+3,78+3,82+3
236583,https://sofifa.com/player/236583/jiri-pavlenka/20/159586,J. Pavlenka,Jiří Pavlenka,27,4/14/1992,196,81,Czech Republic,SV Werder Bremen,84,86,26000000,37000,GK,Right,1,3,1,Medium/Medium,Lean,Yes,46200000,,GK,1,,7/1/2017,2021,SUB,23,,,,,,,86,79,70,88,36,80,Flair Passes,11,16,14,28,19,12,10,14,17,19,35,37,39,82,27,53,36,20,68,17,22,13,14,25,18,39,12,10,14,86,79,70,80,88,,,,,,,,,,,,,,,,,,,,,,,,,,
198176,https://sofifa.com/player/198176/stefan-de-vrij/20/159586,S. de Vrij,Stefan de Vrij,27,2/5/1992,189,78,Netherlands,Inter,84,85,31500000,88000,CB,Right,3,4,2,Medium/High,Normal,Yes,55900000,,CB,6,,7/1/2018,2023,SUB,5,66,41,62,68,86,74,,,,,,,"Leadership, Long Passer (CPU AI Only)",49,25,80,73,27,66,45,16,71,71,65,66,62,81,59,65,76,62,78,60,78,85,32,64,41,82,88,87,84,8,10,7,14,13,57+3,57+3,57+3,59+3,59+3,59+3,59+3,59+3,62+3,62+3,62+3,61+3,68+3,68+3,68+3,61+3,73+3,77+3,77+3,77+3,73+3,75+3,81+3,81+3,81+3,75+3
201995,https://sofifa.com/player/201995/felipe-anderson-pereira-gomes/20/159586,Felipe Anderson,Felipe  Anderson Pereira Gomes,26,4/15/1993,175,70,Brazil,West Ham United,84,85,36500000,125000,LM,Right,3,4,4,High/Medium,Normal,Yes,72100000,#Dribbler,RM,8,,7/15/2018,2022,,,89,77,79,89,55,61,,,,,,,"Beat Offside Trap, Selfish, Argues with Officials, Early Crosser",81,74,44,81,73,90,77,69,76,88,89,89,89,77,87,86,37,74,55,84,67,69,76,81,53,84,47,59,46,12,10,9,5,7,76+3,76+3,76+3,83+3,81+3,81+3,81+3,83+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,72+3,69+3,69+3,69+3,72+3,68+3,59+3,59+3,59+3,68+3
120533,https://sofifa.com/player/120533/kepler-laveran-lima-ferreira/20/159586,Pepe,Képler Laveran Lima Ferreira,36,2/26/1983,188,81,Portugal,FC Porto,84,84,6500000,16000,CB,Right,4,3,2,Medium/High,Lean,Yes,13000000,,RCB,3,,1/8/2019,2021,RCB,3,67,51,57,60,85,85,,,,,,,"Injury Prone, Avoids Using Weaker Foot",46,46,82,71,23,58,44,47,61,62,64,70,63,82,48,63,88,82,83,56,92,84,40,48,57,79,86,85,82,8,15,5,9,10,60+3,60+3,60+3,58+3,59+3,59+3,59+3,58+3,59+3,59+3,59+3,60+3,64+3,64+3,64+3,60+3,73+3,76+3,76+3,76+3,73+3,75+3,82+3,82+3,82+3,75+3
162347,https://sofifa.com/player/162347/joao-filipe-moutinho/20/159586,João Moutinho,João Filipe Iria Santos Moutinho,32,9/8/1986,170,61,Portugal,Wolverhampton Wanderers,84,84,23500000,125000,CM,Right,3,4,3,High/High,Normal,Yes,44700000,#Playmaker  ,LCM,28,,7/24/2018,2020,SUB,8,56,75,85,82,71,67,,,,,,,Finesse Shot,81,73,70,87,76,81,84,81,85,85,60,53,75,76,85,76,72,78,60,79,71,72,74,86,70,88,71,72,67,13,15,15,13,13,73+3,73+3,73+3,77+3,77+3,77+3,77+3,77+3,79+3,79+3,79+3,78+3,81+3,81+3,81+3,78+3,74+3,77+3,77+3,77+3,74+3,72+3,70+3,70+3,70+3,72+3
167628,https://sofifa.com/player/167628/stephane-ruffier/20/159586,S. Ruffier,Stéphane Ruffier,32,9/27/1986,188,93,France,AS Saint-Étienne,84,84,19000000,41000,GK,Right,3,3,1,Medium/Medium,Stocky,No,36100000,,GK,16,,7/11/2011,2021,,,,,,,,,82,84,75,82,48,85,Flair Passes,11,11,12,33,13,12,17,12,34,15,45,50,51,79,55,56,72,37,76,11,31,25,12,49,25,66,13,12,11,82,84,75,85,82,,,,,,,,,,,,,,,,,,,,,,,,,,
168435,https://sofifa.com/player/168435/salvatore-sirigu/20/159586,S. Sirigu,Salvatore Sirigu,32,1/12/1987,192,80,Italy,Torino,84,84,19000000,54000,GK,Right,3,2,1,Medium/Medium,Normal,Yes,32300000,,GK,39,,6/27/2017,2022,SUB,1,,,,,,,84,80,76,82,51,84,"Diver, Flair",13,10,11,23,12,15,11,11,28,18,50,51,52,79,55,57,68,34,66,14,34,20,10,55,19,62,14,11,13,84,80,76,84,82,,,,,,,,,,,,,,,,,,,,,,,,,,
171877,https://sofifa.com/player/171877/marek-hamsik/20/159586,M. Hamšík,Marek Hamšík,31,7/27/1987,183,73,Slovakia,Dalian YiFang FC,84,84,26500000,26000,CM,Right,3,5,3,High/Medium,Normal,Yes,41100000,#Playmaker  ,CAM,17,,2/14/2019,2021,,,69,77,83,83,72,69,,,,,,,"Argues with Officials, Finesse Shot, Giant Throw-in",78,74,74,86,77,84,80,70,83,85,70,68,77,88,67,82,70,81,67,78,60,72,85,86,70,84,75,70,62,8,6,4,14,14,79+3,79+3,79+3,80+3,81+3,81+3,81+3,80+3,82+3,82+3,82+3,81+3,83+3,83+3,83+3,81+3,76+3,77+3,77+3,77+3,76+3,74+3,71+3,71+3,71+3,74+3
172879,https://sofifa.com/player/172879/sokratis-papastathopoulos/20/159586,Sokratis,Sokratis Papastathopoulos,31,6/9/1988,186,85,Greece,Arsenal,84,84,23000000,115000,CB,Right,3,2,2,Medium/High,Normal,Yes,43700000,"#Tackling , #Strength",RCB,5,,7/2/2018,2021,RCB,19,72,51,52,60,84,83,,,,,,,"Diver, Avoids Using Weaker Foot",47,44,85,65,46,58,29,35,54,60,66,76,54,81,64,77,86,69,87,48,88,76,49,45,24,81,85,86,86,6,8,5,12,5,63+3,63+3,63+3,57+3,59+3,59+3,59+3,57+3,57+3,57+3,57+3,59+3,60+3,60+3,60+3,59+3,71+3,72+3,72+3,72+3,71+3,74+3,82+3,82+3,82+3,74+3
176266,https://sofifa.com/player/176266/lucas-pezzini-leiva/20/159586,Lucas Leiva,Lucas  Pezzini Leiva,32,1/9/1987,179,78,Brazil,Lazio,84,84,20500000,71000,CDM,Right,3,3,3,Medium/High,Normal,Yes,34900000,#Tactician ,LDM,6,,7/18/2017,2022,,,62,66,76,78,83,73,,,,,,,Injury Prone,63,62,72,82,59,77,74,47,81,79,64,61,77,82,80,77,81,82,63,66,83,87,66,81,61,86,82,84,81,10,8,8,5,6,70+3,70+3,70+3,72+3,73+3,73+3,73+3,72+3,75+3,75+3,75+3,73+3,79+3,79+3,79+3,73+3,77+3,81+3,81+3,81+3,77+3,77+3,79+3,79+3,79+3,77+3
176635,https://sofifa.com/player/176635/mesut-ozil/20/159586,M. Özil,Mesut Özil,30,10/15/1988,180,76,Germany,Arsenal,84,84,29500000,125000,"CAM, RW",Left,4,2,4,Medium/Low,Lean,Yes,56100000,#Playmaker  ,CAM,10,,9/2/2013,2021,,,70,72,86,84,24,56,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot",83,73,51,89,80,84,84,76,82,89,72,69,77,83,71,70,45,67,56,69,44,24,81,90,67,83,24,16,19,6,14,10,6,14,74+3,74+3,74+3,81+3,80+3,80+3,80+3,81+3,83+3,83+3,83+3,81+3,77+3,77+3,77+3,81+3,57+3,55+3,55+3,55+3,57+3,51+3,39+3,39+3,39+3,51+3
177610,https://sofifa.com/player/177610/javier-martinez-aginaga/20/159586,Javi Martínez,Javier Martínez Aginaga,30,9/2/1988,192,86,Spain,FC Bayern München,84,84,25500000,125000,"CDM, CB",Right,3,3,2,Low/Medium,Normal,Yes,42100000,"#Tackling , #Tactician ",SUB,8,,8/29/2012,2021,,,48,55,69,63,86,83,,,,,,,"Power Free-Kick, Injury Prone, Giant Throw-in",58,43,87,76,58,59,46,45,74,71,45,50,52,85,49,76,85,72,85,62,91,88,51,74,52,80,85,86,85,5,12,9,11,8,64+3,64+3,64+3,60+3,63+3,63+3,63+3,60+3,65+3,65+3,65+3,63+3,72+3,72+3,72+3,63+3,74+3,80+3,80+3,80+3,74+3,76+3,84+3,84+3,84+3,76+3
177683,https://sofifa.com/player/177683/yann-sommer/20/159586,Y. Sommer,Yann Sommer,30,12/17/1988,183,79,Switzerland,Borussia Mönchengladbach,84,84,21000000,37000,GK,Right,3,4,1,Medium/Medium,Normal,Yes,35700000,,GK,1,,7/1/2014,2021,GK,1,,,,,,,79,85,81,87,51,80,"Swerve Pass, Acrobatic Clearance",13,13,10,40,8,15,12,13,31,25,48,54,55,81,58,61,73,45,68,12,38,21,15,58,24,57,9,19,12,79,85,81,80,87,,,,,,,,,,,,,,,,,,,,,,,,,,
180930,https://sofifa.com/player/180930/edin-dzeko/20/159586,E. Džeko,Edin Džeko,33,3/17/1986,193,80,Bosnia Herzegovina,Roma,84,84,19500000,75000,ST,Right,3,5,2,Medium/Medium,Lean,Yes,33200000,#Poacher,ST,9,,7/1/2015,2022,,,60,84,71,75,46,73,,,,,,,"Avoids Using Weaker Foot, Beat Offside Trap",63,88,83,77,77,76,65,54,72,85,61,60,56,83,36,86,64,72,81,79,58,50,89,75,67,83,58,28,16,9,11,13,15,15,82+3,82+3,82+3,76+3,80+3,80+3,80+3,76+3,78+3,78+3,78+3,75+3,74+3,74+3,74+3,75+3,59+3,62+3,62+3,62+3,59+3,55+3,55+3,55+3,55+3,55+3
181291,https://sofifa.com/player/181291/georginio-wijnaldum/20/159586,G. Wijnaldum,Georginio Wijnaldum,28,11/11/1990,175,69,Netherlands,Liverpool,84,84,31000000,140000,"CM, CDM",Right,3,3,4,High/High,Lean,Yes,57400000,#Engine,LCM,5,,7/22/2016,2021,CAM,8,77,73,78,84,76,78,,,,,,,Selfish,69,70,74,85,73,85,76,67,79,85,79,76,81,83,84,78,79,93,72,71,74,78,78,78,74,86,76,78,69,16,6,14,12,6,77+3,77+3,77+3,79+3,79+3,79+3,79+3,79+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,79+3,79+3,79+3,79+3,79+3,78+3,76+3,76+3,76+3,78+3
